
==========================================
--- Laplace Known-Covariance Started at 2026-03-31 08:05:12.935097 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 3000 ---
[2026-03-31 08:35:09] Rep 8, p = 6000: Witten [feat = 129, acc = 0.540], Arias [feat = 120, acc = 0.930], IF-PCA [feat = 1877, acc = 0.505]
[2026-03-31 08:35:09] Rep 15, p = 6000: Witten [feat = 71, acc = 0.510], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 2831, acc = 0.555]
[2026-03-31 08:35:10] Rep 4, p = 6000: Witten [feat = 100, acc = 0.535], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 2903, acc = 0.520]
[2026-03-31 08:35:11] Rep 13, p = 6000: Witten [feat = 67, acc = 0.500], Arias [feat = 120, acc = 0.965], IF-PCA [feat = 2163, acc = 0.510]
[2026-03-31 08:35:13] Rep 11, p = 6000: Witten [feat = 43, acc = 0.510], Arias [feat = 120, acc = 0.975], IF-PCA [feat = 2831, acc = 0.505]
[2026-03-31 08:35:13] Rep 1, p = 6000: Witten [feat = 103, acc = 0.540], Arias [feat = 120, acc = 0.975], IF-PCA [feat = 2829, acc = 0.535]
[2026-03-31 08:35:20] Rep 7, p = 6000: Witten [feat = 93, acc = 0.535], Arias [feat = 120, acc = 0.975], IF-PCA [feat = 2903, acc = 0.510]
[2026-03-31 08:41:26] Rep 16, p = 6000: Witten [feat = 128, acc = 0.535], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 2105, acc = 0.525]
[2026-03-31 08:41:27] Rep 26, p = 6000: Witten [feat = 43, acc = 0.505], Arias [feat = 120, acc = 0.980], IF-PCA [feat = 2335, acc = 0.530]
[2026-03-31 08:41:47] Rep 28, p = 6000: Witten [feat = 90, acc = 0.535], Arias [feat = 120, acc = 0.955], IF-PCA [feat = 2972, acc = 0.555]
[2026-03-31 08:42:02] Rep 17, p = 6000: Witten [feat = 10, acc = 0.980], Arias [feat = 120, acc = 0.970], IF-PCA [feat = 969, acc = 0.535]
[2026-03-31 08:42:06] Rep 27, p = 6000: Witten [feat = 73, acc = 0.515], Arias [feat = 120, acc = 0.975], IF-PCA [feat = 1800, acc = 0.520]
[2026-03-31 08:42:07] Rep 18, p = 6000: Witten [feat = 85, acc = 0.545], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 2452, acc = 0.565]
[2026-03-31 08:42:12] Rep 22, p = 6000: Witten [feat = 99, acc = 0.510], Arias [feat = 120, acc = 0.925], IF-PCA [feat = 2802, acc = 0.505]
[2026-03-31 08:42:18] Rep 24, p = 6000: Witten [feat = 92, acc = 0.500], Arias [feat = 120, acc = 0.975], IF-PCA [feat = 2907, acc = 0.530]
[2026-03-31 08:42:21] Rep 25, p = 6000: Witten [feat = 120, acc = 0.535], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 2300, acc = 0.520]
[2026-03-31 08:42:24] Rep 20, p = 6000: Witten [feat = 55, acc = 0.520], Arias [feat = 120, acc = 0.970], IF-PCA [feat = 1834, acc = 0.525]
[2026-03-31 08:42:26] Rep 19, p = 6000: Witten [feat = 107, acc = 0.545], Arias [feat = 120, acc = 0.930], IF-PCA [feat = 2180, acc = 0.555]
[2026-03-31 08:42:27] Rep 23, p = 6000: Witten [feat = 209, acc = 0.625], Arias [feat = 120, acc = 0.965], IF-PCA [feat = 3000, acc = 0.505]
[2026-03-31 08:42:30] Rep 21, p = 6000: Witten [feat = 222, acc = 0.545], Arias [feat = 120, acc = 0.965], IF-PCA [feat = 2901, acc = 0.535]
[2026-03-31 08:42:53] Rep 30, p = 6000: Witten [feat = 68, acc = 0.560], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 2522, acc = 0.545]
[2026-03-31 08:42:56] Rep 29, p = 6000: Witten [feat = 139, acc = 0.555], Arias [feat = 120, acc = 0.915], IF-PCA [feat = 2172, acc = 0.500]
[2026-03-31 08:47:49] Rep 31, p = 6000: Witten [feat = 274, acc = 0.535], Arias [feat = 120, acc = 0.940], IF-PCA [feat = 1996, acc = 0.520]
[2026-03-31 08:48:29] Rep 35, p = 6000: Witten [feat = 225, acc = 0.510], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 2001, acc = 0.540]
[2026-03-31 08:48:39] Rep 42, p = 6000: Witten [feat = 96, acc = 0.565], Arias [feat = 120, acc = 0.915], IF-PCA [feat = 1767, acc = 0.550]
[2026-03-31 08:48:47] Rep 38, p = 6000: Witten [feat = 328, acc = 0.515], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 2975, acc = 0.505]
[2026-03-31 08:49:00] Rep 33, p = 6000: Witten [feat = 84, acc = 0.570], Arias [feat = 120, acc = 0.955], IF-PCA [feat = 2972, acc = 0.505]
[2026-03-31 08:49:15] Rep 37, p = 6000: Witten [feat = 122, acc = 0.520], Arias [feat = 120, acc = 0.945], IF-PCA [feat = 1542, acc = 0.520]
[2026-03-31 08:49:16] Rep 32, p = 6000: Witten [feat = 128, acc = 0.580], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 800, acc = 0.515]
[2026-03-31 08:49:20] Rep 34, p = 6000: Witten [feat = 142, acc = 0.500], Arias [feat = 120, acc = 0.975], IF-PCA [feat = 1827, acc = 0.510]
[2026-03-31 08:49:26] Rep 36, p = 6000: Witten [feat = 123, acc = 0.585], Arias [feat = 120, acc = 0.940], IF-PCA [feat = 3000, acc = 0.550]
[2026-03-31 08:49:37] Rep 39, p = 6000: Witten [feat = 95, acc = 0.555], Arias [feat = 120, acc = 0.960], IF-PCA [feat = 2573, acc = 0.500]
[2026-03-31 08:49:39] Rep 40, p = 6000: Witten [feat = 16, acc = 0.910], Arias [feat = 120, acc = 0.935], IF-PCA [feat = 2520, acc = 0.510]
[2026-03-31 08:49:46] Rep 41, p = 6000: Witten [feat = 159, acc = 0.535], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 2857, acc = 0.520]
[2026-03-31 08:49:47] Rep 43, p = 6000: Witten [feat = 108, acc = 0.530], Arias [feat = 120, acc = 0.955], IF-PCA [feat = 2687, acc = 0.570]
[2026-03-31 08:50:08] Rep 44, p = 6000: Witten [feat = 138, acc = 0.535], Arias [feat = 120, acc = 0.955], IF-PCA [feat = 2577, acc = 0.540]
[2026-03-31 08:50:20] Rep 45, p = 6000: Witten [feat = 113, acc = 0.510], Arias [feat = 120, acc = 0.935], IF-PCA [feat = 2415, acc = 0.530]
[2026-03-31 08:55:05] Rep 46, p = 6000: Witten [feat = 119, acc = 0.540], Arias [feat = 120, acc = 0.940], IF-PCA [feat = 2554, acc = 0.510]
[2026-03-31 08:55:39] Rep 47, p = 6000: Witten [feat = 181, acc = 0.515], Arias [feat = 120, acc = 0.935], IF-PCA [feat = 2580, acc = 0.530]
[2026-03-31 08:56:01] Rep 49, p = 6000: Witten [feat = 83, acc = 0.535], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 1355, acc = 0.510]
